#;Navn;Aktør
B01;Opdater egen royal bruger;Systemadministrator (p), Royal Bruger (p)
B02;Opdater person;Systemadministrator (p), kanaladministrator (p), producer (p)
B03;Opret Producer;Systemadministrator (p), kanaladministrator (p)
B04;Opret person;Systemadministrator (p), kanaladministrator (p), Producer (p)
B05;Fjern producer;Systemadministrator (p)
B06;Fjern person;Systemadministrator (p)
B07;Opret kreditering;Systemadministrator (p), Kanaladministrator (p), producer (p)
B08;Fjern kreditering til program;Systemadministrator (p), kanaladministrator (p)
B09;Opdater egne kreditering;Systemadministrator (p), kanaladministrator (p), Producer (p)
B10;Læse krediteringer;Systemadministrator (p), kanaladministrator (p), Royal Bruger (p), Producer (p), Gæst (p)
B11;Se person profil;Systemadministrator (p), kanaladministrator (p), Royal bruger (p), Producer (p), Gæst (p)
B12;Søge efter personer og programmer;Systemadministrator (p), kanaladministrator (p), Royal Bruger (p),  Producer (p), Gæst (p)
B13;Log ind;Systemadministrator (p), kanaladministrator (p), Royal Bruger (p), Producer (p)
B14;Log af;Systemadministrator (p), kanaladministrator (p), Royal Bruger(p), Producer (p)
B15;Kan se personinformation;Systemadministrator (p), kanaladministrator (p),  Royal Bruger (p), Producer (p)
B16;Godkende nye krediteringer;Systemadministrator (p), Kanaladministrator (p)
B17;Afvise nye krediteringer;Systemadministrator (p), Kanaladministrator (p)
B18;Opret kanaladministrator ;Systemadministrator (p), kanaladministrator (p)
B19;Opret systemadministrator;Systemadministrator (p)
B20;Bekræfte betalt royalty;Royal Bruger (p)
